Age Group 1,Answer Code,Brand Disposition,Gender,Header,Npd Product Code,NPD Product Code2,Project Code,Project Name,Respondent Number,Response - NET,Response Code,Response Value,Sample Type,SEC Group 1,Submission ID,Variable Name,Weights Random,Weights Random with Booster
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,106,,2,Preferrer,Random,D,397334888,Brand Love,1.53959005,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,108,,2,Preferrer,Random,D,397334902,Brand Love,1.53959005,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,109,,2,Preferrer,Random,D,397331897,Brand Love,1.53959005,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,110,,2,Preferrer,Random,D,397334921,Brand Love,1.53959005,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,112,,2,Preferrer,Random,D,397334935,Brand Love,1.53959005,1.554080309
20-29 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,113,,2,Preferrer,Random,C2,397332006,Brand Love,0.999383015,0.928926512
7-12 y.o.,BIM.0002-A,I have tried this brand but will not eat it again,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,114,,5,Rejector,Random,D,397332668,Brand Love,1.53959005,1.554080309
17-19 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,118,,3,Acceptor,Random,D,397330158,Brand Love,1.53959005,1.554080309
20-29 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,120,,3,Acceptor,Random,D,397330189,Brand Love,1.53959005,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,121,,3,Acceptor,Random,D,397330199,Brand Love,1.53959005,1.554080309
20-29 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,122,,3,Acceptor,Random,D,397330209,Brand Love,1.53959005,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,123,,2,Preferrer,Random,D,397330218,Brand Love,1.53959005,1.554080309
17-19 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,125,,3,Acceptor,Random,D,397330257,Brand Love,1.53959005,1.554080309
20-29 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,126,,3,Acceptor,Random,D,397330273,Brand Love,1.53959005,1.554080309
30-45 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,130,,2,Preferrer,Random,D,397678418,Brand Love,1.53959005,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,134,,2,Preferrer,Random,D,397678693,Brand Love,1.53959005,1.554080309
7-12 y.o.,BIM.0002-A,I have never tried this brand and am not interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,136,,5,Rejector,Random,D,397365515,Brand Love,1.53959005,1.554080309
13-16 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,138,,3,Acceptor,Random,D,397365434,Brand Love,1.53959005,1.554080309
13-16 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,159,,3,Acceptor,Random,D,397388915,Brand Love,1.53959005,1.554080309
20-29 y.o.,BIM.0002-A,I have never tried this brand and am not interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,165,,5,Rejector,Random,D,397375020,Brand Love,1.53959005,1.554080309
30-45 y.o.,BIM.0002-A,I have heard of it but I don’t know much about it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,171,,4,Available,Random,C2,397362754,Brand Love,0.999383015,0.928926512
13-16 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,172,,2,Preferrer,Random,C2,397362765,Brand Love,0.999383015,0.928926512
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,182,,3,Acceptor,Random,C2,397358722,Brand Love,0.999383015,0.928926512
30-45 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,201,,3,Acceptor,Boosted,D,397736600,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,202,,3,Acceptor,Boosted,D,397743642,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,203,,2,Preferrer,Boosted,D,397914721,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,204,,2,Preferrer,Boosted,D,397736617,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,205,,3,Acceptor,Boosted,D,397743664,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,206,,2,Preferrer,Boosted,D,397914723,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,207,,2,Preferrer,Boosted,C2,397736636,Brand Love,,0.532455942
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,208,,3,Acceptor,Boosted,D,397743685,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,209,,2,Preferrer,Boosted,D,397914725,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,210,,3,Acceptor,Boosted,D,397736649,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,211,,2,Preferrer,Boosted,D,397987527,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,212,,2,Preferrer,Boosted,D,397960902,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,213,,2,Preferrer,Boosted,D,397987540,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,214,,2,Preferrer,Boosted,D,397960921,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,215,,2,Preferrer,Boosted,D,397987763,Brand Love,,0.395278648
17-19 y.o.,BIM.0002-A,I have heard of it but I don’t know much about it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,254,,4,Available,Boosted,C1,397920027,Brand Love,,1.847875669
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,255,,2,Preferrer,Boosted,C2,397942973,Brand Love,,0.532455942
13-16 y.o.,BIM.0002-A,"Not a brand I generally prefer, but I may eat it sometimes",Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,256,,3,Acceptor,Boosted,D,397919316,Brand Love,,0.395278648
13-16 y.o.,BIM.0002-A,I have heard of it but I don’t know much about it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,257,,4,Available,Boosted,C2,397923917,Brand Love,,0.532455942
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,258,,2,Preferrer,Boosted,D,397943251,Brand Love,,0.395278648
13-16 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,259,,3,Acceptor,Boosted,C1,397919997,Brand Love,,1.847875669
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,260,,2,Preferrer,Boosted,D,397943564,Brand Love,,0.395278648
30-45 y.o.,BIM.0002-A,"Not a brand I generally prefer, but I may eat it sometimes",Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,261,,3,Acceptor,Boosted,D,397919321,Brand Love,,0.395278648
17-19 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,262,,3,Acceptor,Boosted,AB,397919987,Brand Love,,0
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,263,,2,Preferrer,Boosted,D,397943971,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,264,,2,Preferrer,Boosted,D,397919326,Brand Love,,0.395278648
13-16 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,265,,3,Acceptor,Boosted,C1,397919947,Brand Love,,1.847875669
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,266,,2,Preferrer,Boosted,D,397945532,Brand Love,,0.395278648
30-45 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,267,,2,Preferrer,Boosted,D,397919332,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,268,,2,Preferrer,Boosted,D,397919337,Brand Love,,0.395278648
30-45 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,269,,3,Acceptor,Boosted,D,397988924,Brand Love,,0.395278648
30-45 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,270,,2,Preferrer,Boosted,D,398009127,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,"Not a brand I generally prefer, but I may eat it sometimes",Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,271,,3,Acceptor,Boosted,D,398044187,Brand Love,,0.395278648
13-16 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,272,,3,Acceptor,Boosted,C2,397976252,Brand Love,,0.532455942
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,273,,3,Acceptor,Boosted,D,397988932,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,274,,2,Preferrer,Boosted,D,398009146,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,"Not a brand I generally prefer, but I may eat it sometimes",Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,275,,3,Acceptor,Boosted,D,398044213,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,276,,3,Acceptor,Boosted,D,397976185,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,277,,3,Acceptor,Boosted,D,397988941,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,"Not a brand I generally prefer, but I may eat it sometimes",Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,278,,3,Acceptor,Boosted,D,398009172,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,279,,2,Preferrer,Boosted,D,398044236,Brand Love,,0.395278648
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,280,,3,Acceptor,Boosted,C2,397976144,Brand Love,,0.532455942
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,291,,2,Preferrer,Boosted,D,397681608,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,292,,2,Preferrer,Boosted,D,397681626,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,293,,2,Preferrer,Boosted,C2,397681652,Brand Love,,0.928926512
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,308,,2,Preferrer,Boosted,D,397619243,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,309,,2,Preferrer,Boosted,D,397619265,Brand Love,,1.554080309
30-45 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,310,,3,Acceptor,Boosted,D,397678393,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,321,,2,Preferrer,Boosted,D,397615612,Brand Love,,1.554080309
30-45 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,322,,2,Preferrer,Boosted,D,397649842,Brand Love,,1.554080309
17-19 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,323,,2,Preferrer,Boosted,D,397615557,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,324,,2,Preferrer,Boosted,D,397649864,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,325,,3,Acceptor,Boosted,D,397615511,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,326,,3,Acceptor,Boosted,D,397649888,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,327,,3,Acceptor,Boosted,C2,397615313,Brand Love,,0.928926512
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,328,,2,Preferrer,Boosted,D,397649902,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,329,,3,Acceptor,Boosted,D,397615249,Brand Love,,1.554080309
20-29 y.o.,BIM.0002-A,I have heard of it but I don’t know much about it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,330,,4,Available,Boosted,C2,397649916,Brand Love,,0.928926512
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,331,,2,Preferrer,Boosted,D,397670291,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,339,,2,Preferrer,Boosted,D,397701339,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,340,,3,Acceptor,Boosted,C2,397656484,Brand Love,,0.928926512
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,341,,2,Preferrer,Boosted,D,397701357,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,342,,3,Acceptor,Boosted,D,397656396,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,343,,2,Preferrer,Boosted,D,397701376,Brand Love,,1.554080309
13-16 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,351,,2,Preferrer,Boosted,C2,397677257,Brand Love,,0.928926512
30-45 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,352,,2,Preferrer,Boosted,C2,397677280,Brand Love,,0.928926512
13-16 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,353,,2,Preferrer,Boosted,C2,397677299,Brand Love,,0.928926512
7-12 y.o.,BIM.0002-A,"Not a brand I generally prefer, but I may eat it sometimes",Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,354,,3,Acceptor,Boosted,C2,397677311,Brand Love,,0.928926512
13-16 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,355,,3,Acceptor,Boosted,C2,397679209,Brand Love,,0.928926512
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,356,,3,Acceptor,Boosted,D,397679232,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,357,,3,Acceptor,Boosted,C2,397664054,Brand Love,,0.928926512
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,358,,3,Acceptor,Boosted,D,397664090,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,359,,3,Acceptor,Boosted,C2,397977471,Brand Love,,0.928926512
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,360,,3,Acceptor,Boosted,D,397978655,Brand Love,,1.554080309
30-45 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,368,,2,Preferrer,Boosted,D,397679247,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,369,,2,Preferrer,Boosted,D,397679269,Brand Love,,1.554080309
30-45 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,370,,3,Acceptor,Boosted,D,397679282,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,371,,3,Acceptor,Boosted,D,397679297,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,372,,2,Preferrer,Boosted,C2,397664113,Brand Love,,0.928926512
13-16 y.o.,BIM.0002-A,This is one of the brands I prefer,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,373,,2,Preferrer,Boosted,C2,397664139,Brand Love,,0.928926512
30-45 y.o.,BIM.0002-A,This is one of the brands I prefer,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,374,,2,Preferrer,Boosted,D,397664159,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Male,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,375,,3,Acceptor,Boosted,D,397664183,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,376,,3,Acceptor,Boosted,D,397977810,Brand Love,,1.554080309
7-12 y.o.,BIM.0002-A,I have not tried this brand but I am interested in trying it,Female,Brand Love,FVL3,FVL3,24-SFIM-C-CS-019,CALCITE,377,,3,Acceptor,Boosted,D,397977689,Brand Love,,1.554080309
